onset1	nucleus1	coda1	shape1	onset2	nucleus2	coda2	shape2	shape	syllable.contact.code	transcription
p	iː	m	CVC	t	ɪ	n	CVC	CVC.CVC	-NPA	piːmtɪn
p	iː	m	CVC	t	ɪ	ŋ	CVC	CVC.CVC	-NPA	piːmtɪŋ
p	iː	m	CVC	t	ɪ	p	CVC	CVC.CVC	-NPA	piːmtɪp
p	iː	m	CVC	t	ɪ	t	CVC	CVC.CVC	-NPA	piːmtɪt
p	iː	m	CVC	t	ɪ	k	CVC	CVC.CVC	-NPA	piːmtɪk
p	iː	m	CVC	t	ɪ	s	CVC	CVC.CVC	-NPA	piːmtɪs
p	iː	m	CVC	t	ʊ	n	CVC	CVC.CVC	-NPA	piːmtʊn
p	iː	m	CVC	t	ʊ	ŋ	CVC	CVC.CVC	-NPA	piːmtʊŋ
p	iː	m	CVC	t	ʊ	p	CVC	CVC.CVC	-NPA	piːmtʊp
p	iː	m	CVC	t	ʊ	t	CVC	CVC.CVC	-NPA	piːmtʊt
p	iː	m	CVC	t	ʊ	k	CVC	CVC.CVC	-NPA	piːmtʊk
p	iː	m	CVC	t	ʊ	s	CVC	CVC.CVC	-NPA	piːmtʊs
p	iː	m	CVC	t	ɛ	n	CVC	CVC.CVC	-NPA	piːmtɛn
p	iː	m	CVC	t	ɛ	ŋ	CVC	CVC.CVC	-NPA	piːmtɛŋ
p	iː	m	CVC	t	ɛ	p	CVC	CVC.CVC	-NPA	piːmtɛp
p	iː	m	CVC	t	ɛ	t	CVC	CVC.CVC	-NPA	piːmtɛt
p	iː	m	CVC	t	ɛ	k	CVC	CVC.CVC	-NPA	piːmtɛk
p	iː	m	CVC	t	ɛ	s	CVC	CVC.CVC	-NPA	piːmtɛs
p	iː	m	CVC	t	æ	n	CVC	CVC.CVC	-NPA	piːmtæn
p	iː	m	CVC	t	æ	ŋ	CVC	CVC.CVC	-NPA	piːmtæŋ
p	iː	m	CVC	t	æ	p	CVC	CVC.CVC	-NPA	piːmtæp
p	iː	m	CVC	t	æ	t	CVC	CVC.CVC	-NPA	piːmtæt
p	iː	m	CVC	t	æ	k	CVC	CVC.CVC	-NPA	piːmtæk
p	iː	m	CVC	t	æ	s	CVC	CVC.CVC	-NPA	piːmtæs
p	iː	m	CVC	k	ɪ	n	CVC	CVC.CVC	-NPA	piːmkɪn
p	iː	m	CVC	k	ɪ	ŋ	CVC	CVC.CVC	-NPA	piːmkɪŋ
p	iː	m	CVC	k	ɪ	p	CVC	CVC.CVC	-NPA	piːmkɪp
p	iː	m	CVC	k	ɪ	t	CVC	CVC.CVC	-NPA	piːmkɪt
p	iː	m	CVC	k	ɪ	k	CVC	CVC.CVC	-NPA	piːmkɪk
p	iː	m	CVC	k	ɪ	s	CVC	CVC.CVC	-NPA	piːmkɪs
p	iː	m	CVC	k	ʊ	n	CVC	CVC.CVC	-NPA	piːmkʊn
p	iː	m	CVC	k	ʊ	ŋ	CVC	CVC.CVC	-NPA	piːmkʊŋ
p	iː	m	CVC	k	ʊ	p	CVC	CVC.CVC	-NPA	piːmkʊp
p	iː	m	CVC	k	ʊ	t	CVC	CVC.CVC	-NPA	piːmkʊt
p	iː	m	CVC	k	ʊ	k	CVC	CVC.CVC	-NPA	piːmkʊk
p	iː	m	CVC	k	ʊ	s	CVC	CVC.CVC	-NPA	piːmkʊs
p	iː	m	CVC	k	ɛ	n	CVC	CVC.CVC	-NPA	piːmkɛn
p	iː	m	CVC	k	ɛ	ŋ	CVC	CVC.CVC	-NPA	piːmkɛŋ
p	iː	m	CVC	k	ɛ	p	CVC	CVC.CVC	-NPA	piːmkɛp
p	iː	m	CVC	k	ɛ	t	CVC	CVC.CVC	-NPA	piːmkɛt
p	iː	m	CVC	k	ɛ	k	CVC	CVC.CVC	-NPA	piːmkɛk
p	iː	m	CVC	k	ɛ	s	CVC	CVC.CVC	-NPA	piːmkɛs
p	iː	m	CVC	k	æ	n	CVC	CVC.CVC	-NPA	piːmkæn
p	iː	m	CVC	k	æ	ŋ	CVC	CVC.CVC	-NPA	piːmkæŋ
p	iː	m	CVC	k	æ	p	CVC	CVC.CVC	-NPA	piːmkæp
p	iː	m	CVC	k	æ	t	CVC	CVC.CVC	-NPA	piːmkæt
p	iː	m	CVC	k	æ	k	CVC	CVC.CVC	-NPA	piːmkæk
p	iː	m	CVC	k	æ	s	CVC	CVC.CVC	-NPA	piːmkæs
p	iː	m	CVC	b	ɪ	n	CVC	CVC.CVC	+NPA	piːmbɪn
p	iː	m	CVC	b	ɪ	ŋ	CVC	CVC.CVC	+NPA	piːmbɪŋ
p	iː	m	CVC	b	ɪ	p	CVC	CVC.CVC	+NPA	piːmbɪp
p	iː	m	CVC	b	ɪ	t	CVC	CVC.CVC	+NPA	piːmbɪt
p	iː	m	CVC	b	ɪ	k	CVC	CVC.CVC	+NPA	piːmbɪk
p	iː	m	CVC	b	ɪ	s	CVC	CVC.CVC	+NPA	piːmbɪs
p	iː	m	CVC	b	ʊ	n	CVC	CVC.CVC	+NPA	piːmbʊn
p	iː	m	CVC	b	ʊ	ŋ	CVC	CVC.CVC	+NPA	piːmbʊŋ
p	iː	m	CVC	b	ʊ	p	CVC	CVC.CVC	+NPA	piːmbʊp
p	iː	m	CVC	b	ʊ	t	CVC	CVC.CVC	+NPA	piːmbʊt
