onset1	nucleus1	coda1	onset2	nucleus2	coda2	shape	syllable.contact.code	transcription
b	iː	s	d	æ	n	CVC.CVC	-OVA	biːsdæn
g	ɪ	ŋ				CVC		gɪŋ
tl	aʊ	k				TlVC		tlaʊk
dɹ	oʊ	k	b	æ	m	TɹVC.CVC	-OVA	dɹoʊkbæm
dɹ	eɪ	s	p	ɛ	ŋ	TɹVC.CVC	+OVA	dɹeɪspɛŋ
tl	ɑ	p	k	ɪ	ŋ	TlVC.CVC	+OVA	tlɑpkɪŋ
b	iː	n	d	ɪ	s	CVC.CVC	+NPA	biːndɪs
t	aɪ	n	g	æ	p	CVC.CVC	-NPA	taɪngæp
mg	ɛ	p				NCVC		mgɛp
k	oʊ	s	b	æ	k	CVC.CVC	-OVA	koʊsbæk
dl	aʊ	ŋ	b	ɪ	n	TlVC.CVC	-NPA	dlaʊŋbɪn
gn	uː	t				CNVC		gnuːt
d	iː	s	t	ɛ	m	CVC.CVC	+OVA	diːstɛm
g	aɪ	n	t	ɪ	m	CVC.CVC	+NPA	gaɪntɪm
d	oʊ	ŋ	s	ɪ	n	CVC.CVC	-NPA	doʊŋsɪn
dɹ	uː	m	p	ʊ	s	TɹVC.CVC	+NPA	dɹuːmpʊs
dl	eɪ	s				TlVC		dleɪs
st	aʊ	p				sCVC		staʊp
gm	æ	p				CNVC		gmæp
km	oʊ	t				CNVC		kmoʊt
bm	oʊ	t				CNVC		bmoʊt
p	aɪ	n	s	ɪ	ŋ	CVC.CVC	+NPA	paɪnsɪŋ
s	uː	k	d	ɪ	m	CVC.CVC	-OVA	suːkdɪm
n	aɪ	s	p	ɪ	t	CVC.CVC	+OVA	naɪspɪt
sk	eɪ	m				sCVC		skeɪm
dɹ	uː	k	s	æ	n	TɹVC.CVC	+OVA	dɹuːksæn
tɹ	oʊ	p	s	ʊ	m	TɹVC.CVC	+OVA	tɹoʊpsʊm
tl	æ	k				TlVC		tlæk
m	aʊ	ŋ	p	ɪ	k	CVC.CVC	-NPA	maʊŋpɪk
dm	iː	p				CNVC		dmiːp
st	aʊ	ŋ				sCVC		staʊŋ
m	aʊ	k	s	ɪ	s	CVC.CVC	+OVA	maʊksɪs
mb	aʊ	t				NCVC		mbaʊt
tl	oʊ	ŋ				TlVC		tloʊŋ
b	iː	p	g	ɛ	s	CVC.CVC	-OVA	biːpgɛs
sp	oʊ	t				sCVC		spoʊt
tl	eɪ	m	b	æ	ŋ	TlVC.CVC	+NPA	tleɪmbæŋ
nd	aɪ	t				NCVC		ndaɪt
g	ɑ	n				CVC		gɑn
t	uː	m				CVC		tuːm
tl	aʊ	s	b	ɪ	p	TlVC.CVC	-OVA	tlaʊsbɪp
p	uː	ŋ	t	ɪ	p	CVC.CVC	-NPA	puːŋtɪp
dɹ	aɪ	n				TɹVC		dɹaɪn
n	ɑ	k	g	ɪ	t	CVC.CVC	-OVA	nɑkgɪt
dɹ	ɑ	n	t	æ	m	TɹVC.CVC	+NPA	dɹɑntæm
tɹ	uː	m	g	æ	t	TɹVC.CVC	-NPA	tɹuːmgæt
tɹ	ɑ	ŋ	g	ʊ	s	TɹVC.CVC	+NPA	tɹɑŋgʊs
m	uː	s	t	ʊ	p	CVC.CVC	+OVA	muːstʊp
pw	ɪ	n				CwVC		pwɪn
dɹ	ʊ	ŋ				TɹVC		dɹʊŋ
d	oʊ	t				CVC		doʊt
t	ɑ	p	s	ɪ	ŋ	CVC.CVC	+OVA	tɑpsɪŋ
tl	aʊ	m				TlVC		tlaʊm
n	aɪ	ŋ	g	ɪ	n	CVC.CVC	+NPA	naɪŋgɪn
g	aʊ	k				CVC		gaʊk
nb	ɪ	t				NCVC		nbɪt
sk	ʊ	m				sCVC		skʊm
dɹ	eɪ	ŋ				TɹVC		dɹeɪŋ
ng	æ	p				NCVC		ngæp
pw	æ	s				CwVC		pwæs
